STATEFP,TRACT_COUNTYFP,TRACTCE,TRACT_GEOID,TRACT_NAME,TRACT_NAMELSAD,PLACEFP,PLACENS,PLACE_GEOID,PLACE_NAME,PLACE_NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA
17,137,951600,17137951600,9516,Census Tract 9516,38115,2395451,1738115,Jacksonville,Jacksonville city,25,C1,Y,N
17,137,952000,17137952000,9520,Census Tract 9520,38115,2395451,1738115,Jacksonville,Jacksonville city,25,C1,Y,N
17,137,951700,17137951700,9517,Census Tract 9517,38115,2395451,1738115,Jacksonville,Jacksonville city,25,C1,Y,N
17,137,951500,17137951500,9515,Census Tract 9515,38115,2395451,1738115,Jacksonville,Jacksonville city,25,C1,Y,N
17,137,951800,17137951800,9518,Census Tract 9518,38115,2395451,1738115,Jacksonville,Jacksonville city,25,C1,Y,N
17,137,951900,17137951900,9519,Census Tract 9519,38115,2395451,1738115,Jacksonville,Jacksonville city,25,C1,Y,N
17,137,952100,17137952100,9521,Census Tract 9521,38115,2395451,1738115,Jacksonville,Jacksonville city,25,C1,Y,N
17,185,957200,17185957200,9572,Census Tract 9572,815,2397935,1700815,Allendale,Allendale village,47,C1,N,N
17,185,957200,17185957200,9572,Census Tract 9572,4936,2398082,1704936,Bellmont,Bellmont village,47,C1,N,N
17,33,880600,17033880600,8806,Census Tract 8806,26350,2398883,1726350,Flat Rock,Flat Rock village,47,C1,N,N
17,33,880100,17033880100,8801,Census Tract 8801,36841,2398565,1736841,Hutsonville,Hutsonville village,47,C1,N,N
17,33,880200,17033880200,8802,Census Tract 8802,55106,2399553,1755106,Oblong,Oblong village,47,C1,N,N
17,33,880500,17033880500,8805,Census Tract 8805,57277,2399610,1757277,Palestine,Palestine village,47,C1,N,N
17,33,880200,17033880200,8802,Census Tract 8802,73027,2399913,1773027,Stoy,Stoy village,47,C1,N,N
17,31,828000,17031828000,8280,Census Tract 8280,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N
17,31,828100,17031828100,8281,Census Tract 8281,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N
17,31,828202,17031828202,8282.02,Census Tract 8282.02,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N
17,31,828505,17031828505,8285.05,Census Tract 8285.05,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N
17,31,826202,17031826202,8262.02,Census Tract 8262.02,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N
17,31,827902,17031827902,8279.02,Census Tract 8279.02,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N
17,31,828201,17031828201,8282.01,Census Tract 8282.01,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N
17,31,826201,17031826201,8262.01,Census Tract 8262.01,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N
17,31,827901,17031827901,8279.01,Census Tract 8279.01,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N
17,31,828506,17031828506,8285.06,Census Tract 8285.06,42028,2398395,1742028,Lansing,Lansing village,47,C1,N,N
17,31,740100,17031740100,7401,Census Tract 7401,48554,2399321,1748554,Merrionette Park,Merrionette Park village,47,C1,N,N
17,31,740400,17031740400,7404,Census Tract 7404,48554,2399321,1748554,Merrionette Park,Merrionette Park village,47,C1,N,N
17,31,823400,17031823400,8234,Census Tract 8234,48554,2399321,1748554,Merrionette Park,Merrionette Park village,47,C1,N,N
17,31,823304,17031823304,8233.04,Census Tract 8233.04,48554,2399321,1748554,Merrionette Park,Merrionette Park village,47,C1,N,N
17,31,120200,17031120200,1202,Census Tract 1202,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,808301,17031808301,8083.01,Census Tract 8083.01,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,806104,17031806104,8061.04,Census Tract 8061.04,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,805201,17031805201,8052.01,Census Tract 8052.01,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,805202,17031805202,8052.02,Census Tract 8052.02,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,805301,17031805301,8053.01,Census Tract 8053.01,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,805302,17031805302,8053.02,Census Tract 8053.02,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,805401,17031805401,8054.01,Census Tract 8054.01,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,805402,17031805402,8054.02,Census Tract 8054.02,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,805501,17031805501,8055.01,Census Tract 8055.01,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,805502,17031805502,8055.02,Census Tract 8055.02,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,806001,17031806001,8060.01,Census Tract 8060.01,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,806003,17031806003,8060.03,Census Tract 8060.03,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,806004,17031806004,8060.04,Census Tract 8060.04,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,805902,17031805902,8059.02,Census Tract 8059.02,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,100200,17031100200,1002,Census Tract 1002,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,808200,17031808200,8082,Census Tract 8082,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,808400,17031808400,8084,Census Tract 8084,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,807800,17031807800,8078,Census Tract 8078,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,120100,17031120100,1201,Census Tract 1201,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,806002,17031806002,8060.02,Census Tract 8060.02,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,90200,17031090200,902,Census Tract 902,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,90100,17031090100,901,Census Tract 901,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,31,808100,17031808100,8081,Census Tract 8081,53000,2399498,1753000,Niles,Niles village,47,C1,N,N
17,97,864802,17097864802,8648.02,Census Tract 8648.02,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,802506,17031802506,8025.06,Census Tract 8025.06,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,97,864505,17097864505,8645.05,Census Tract 8645.05,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,97,865801,17097865801,8658.01,Census Tract 8658.01,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,801701,17031801701,8017.01,Census Tract 8017.01,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,801901,17031801901,8019.01,Census Tract 8019.01,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,802300,17031802300,8023,Census Tract 8023,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,802402,17031802402,8024.02,Census Tract 8024.02,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,801702,17031801702,8017.02,Census Tract 8017.02,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,801800,17031801800,8018,Census Tract 8018,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,801605,17031801605,8016.05,Census Tract 8016.05,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,801500,17031801500,8015,Census Tract 8015,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,801608,17031801608,8016.08,Census Tract 8016.08,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,801601,17031801601,8016.01,Census Tract 8016.01,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,800200,17031800200,8002,Census Tract 8002,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,97,865802,17097865802,8658.02,Census Tract 8658.02,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,801607,17031801607,8016.07,Census Tract 8016.07,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,801606,17031801606,8016.06,Census Tract 8016.06,53481,2399526,1753481,Northbrook,Northbrook village,47,C1,N,N
17,31,814800,17031814800,8148,Census Tract 8148,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N
17,31,815800,17031815800,8158,Census Tract 8158,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N
17,31,815600,17031815600,8156,Census Tract 8156,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N
17,31,818000,17031818000,8180,Census Tract 8180,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N
17,31,815702,17031815702,8157.02,Census Tract 8157.02,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N
17,31,817900,17031817900,8179,Census Tract 8179,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N
17,31,818600,17031818600,8186,Census Tract 8186,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N
17,31,815701,17031815701,8157.01,Census Tract 8157.01,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N
17,31,814700,17031814700,8147,Census Tract 8147,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N
17,31,816100,17031816100,8161,Census Tract 8161,54144,2399521,1754144,North Riverside,North Riverside village,47,C1,N,N
